Hiragana,Meaning
あいえんか,タバコを好んで吸う人。
あいおーしー,ユネスコ政府海洋学委員会の略称。
あいこ,
あいすきゃんでぃー,
あいすすけーと,鋼鉄製の刃のついた靴を履いて氷上を滑走するスポーツ。
あいすほっけー,表情でスケートを履いてするホッケー。
あいだ,二つのものに挟まれた部分や範囲。
あいちゃく,慣れ親しんだものに深く心がひかれること。
あいつ,第三者をぞんざいにいう語。
あいでぃあ,思いつき。新奇な工夫。着想。
あいてぃー,
あうと,スポーツ用語。具合が悪いこと。不成功なこと。外の、外側の、などの意。
あおぞら,
あかじ,
あかとんぼ,
あかほん,
あきばこ,
あくしゅう,
あくせる,
あくせんと,
あくま,
あご,
あさいちばん,
あさめしまえ,
あし,
あしくび,
あじさい,
あす,
あそび,
あだな,
あたりまえ,
あつかい,
あっとほーむ,
あつみ,
あと,
あどばんてーじ,
あな,
あなろぐ,
あなろぐどけい,
あぶら,
あまがっぱ,
あまぐ,
あまちゅあ,
あまみ,
あみのさん,
あみもの,
あめりかんどっぐ,
あめりかんふっとぼーる,
あやつりにんぎょう,
あやまり,
あらいぐま,
あり,
あるばいと,
あれこれ,
あれるぎー,
あん,
あんけーと,
あんていせい,
あんないじょう,
あんぱん,
いいなり,
いいぶん,
いいまちがい,
いいんかい,
いえじゅう,
いえろー,
いかり,
いきおい,
いきどまり,
いきもの,
いここち,
いざかや,
いさん,
いし,
いしあたま,
いしゃりょう,
いせい,
いた,
いたみ,
いちいん,
いちがつ,
いちご,
いちにんまえ,
いちねんご,
いちぶ,
いちりゅう,
いっかいせん,
いっきとうせん,
いっこだて,
いっしょう,
いってい,
いっぱい,
いっぱん,
いっぽう,
いでんし,
いとこ,
いとでんわ,
いとなみ,
いなかみん,
いぬ,
いのち,
いびき,
いぶんか,
いぶんかかん～,
いべんと,
いま,
いまどき,
いまひとつ,
いやし,
いやほん,
いよく,
いりょう,
いわ,
いんがかんけい,
いんしゅうんてん,
いんしょう,
いんたーねっと,
いんたびゅー,
いんどじん,
いんどよう,
ういすきー,
ういるす,
うーる,
うぉしゅれっと,
うし,
うしろすがた,
うすがた,
うすげしょう,
うち,
うちゅう,
うちわ,
うちわけ,
うっぷん,
うで,
うば,
うまみ,
うみ,
うむ,
うらない,
うらないし,
うりあげ,
うりょう,
うん,
うんちん,
うんてんしゅ,
うんどう,
うんめい,
えいえいじてん,
えいぎょうまん,
えいせいほうそう,
えいぞう,
えいよう,
えいようそ,
えいり,
えいわじてん,
えーてぃーえむ,
えがお,
えすえふえいが,
えすにっくりょうり,
えだ,
えぬえいちけー,
えぬけいさいぼう,
えぬじーおー,
えぬぴーおー,
えりーと,
えん,
えんか,
